,CensusTract,State,County,Urban,Pop2010,OHU2010,LATracts10,lapop10share,PovertyRate,MedianFamilyIncome,lahunvhalfshare,lasnaphalfshare,lakids1,Lat,Long
0,1001021000,Alabama,Autauga County,0,2894,1085,1,80.8,22.7,60900.0,0.8,14.31,750.0,32.604932,-86.7487062
1,1001021100,Alabama,Autauga County,0,3320,1306,1,79.52,24.1,49833.0,20.72,17.36,750.0,32.4574129,-86.7290029
2,1003010100,Alabama,Baldwin County,0,3804,1510,1,39.21,10.2,56464.0,5.62,8.09,917.0,31.1118693,-87.7880651
3,1005950100,Alabama,Barbour County,0,3321,1348,1,18.57,31.2,63398.0,12.13,24.27,727.0,32.0353533,-85.2477678
4,1005950300,Alabama,Barbour County,0,1638,673,1,50.98,34.4,42736.0,8.91,22.59,342.0,31.7908933,-85.5670514
5,1005950400,Alabama,Barbour County,0,4303,1188,1,66.62,26.7,36164.0,15.42,27.54,658.0,31.6794432,-85.5577196
6,1011952100,Alabama,Bullock County,0,1434,612,1,86.46,43.0,27120.0,10.22,33.9,340.0,32.1157274,-85.5267341
7,1011952500,Alabama,Bullock County,0,2378,1016,1,56.46,8.6,58380.0,4.58,8.91,527.0,32.0821273,-85.8274935
8,1013953000,Alabama,Butler County,0,1469,620,1,36.86,23.4,50217.0,1.83,10.28,330.0,31.8617983,-86.7608112
9,1013953200,Alabama,Butler County,0,4327,1738,1,13.02,17.2,43456.0,5.86,21.39,764.0,31.7820079,-86.5213679
10,1023956700,Alabama,Choctaw County,0,3184,1419,1,75.12,26.1,50673.0,15.09,28.46,674.0,32.270011,-88.206997
11,1023957000,Alabama,Choctaw County,0,2373,949,1,22.15,31.1,42536.0,7.18,24.89,593.0,31.759107,-88.3016638
12,1025957601,Alabama,Clarke County,0,998,377,1,40.73,21.5,49359.0,7.91,15.56,236.0,31.8884818,-87.8913637
13,1025957700,Alabama,Clarke County,0,1329,572,1,98.57,31.5,48304.0,4.48,17.99,293.0,31.8398667,-88.059381
14,1025957800,Alabama,Clarke County,0,5488,2199,1,13.8,26.7,57450.0,8.91,18.1,1014.0,31.6170174,-87.6979772
15,1025958002,Alabama,Clarke County,0,1731,636,1,56.06,44.4,40000.0,25.8,25.24,486.0,31.3573817,-87.8407503
16,1031010100,Alabama,Coffee County,0,2057,828,1,44.82,21.9,51719.0,3.98,17.9,530.0,31.5629467,-86.0563149
17,1031010200,Alabama,Coffee County,0,1841,765,1,59.21,13.7,64333.0,4.43,11.5,394.0,31.5375844,-85.8984006
18,1033020802,Alabama,Colbert County,0,3766,1552,1,21.53,17.6,53091.0,4.9,11.04,773.0,34.6517425,-87.5574471
